Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group ,Top Offense Type
11/20/2017,0051,11/20/2017,2017,11,17200709,3D,900 B/O U St NW,Sexual Orientation,,ADW
11/21/2017,0940,11/21/2017,2017,11,17201401,1D,200 B/O K St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/22/2017,1840,11/22/2017,2017,11,17202404,1D,800 B/O 7th ST NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/23/2017,0830,11/24/2017,2017,11,17203063,2D,1400 B/O 26th St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/23/2017,2230,11/24/2017,2017,11,17203090,2D,2300 B/O 40th Pl NW,Race,Black,Damage/Defacing/Destruction of Property
11/24/2017,1947,11/24/2017,2017,11,17203324,3D,1500 B/O 9th St NW,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault
11/26/2017,0855,11/26/2017,2017,11,17204180,1D,400 B/O Massachusetts Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/26/2017,1348,11/26/2017,2017,11,17204268,1D,500 B/O I St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/27/2017,1041,11/27/2017,2017,11,17204700,1D,900 B/O 7th St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/27/2017,1354,11/27/2017,2017,11,17204853,2D,1300 B/O 14th ST NW,Race,White,Threats
11/29/2017,1731,11/29/2017,2017,11,17206400,2D,900 B/O Massachusetts Ave NW,Race,Black,Damage/Defacing/Destruction of Property
11/29/2017,2224,11/29/2017,2017,11,17206420,7D,2700 B/O Bruce Pl SE,Gender Identity/Expression,,Robbery
11/23/2017,1500,11/30/2017,2017,11,17206791,1D,500 B/O H St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
12/2/2017,0544,12/2/2017,2017,12,17207852,6D,100 B/O 46th Pl NE,Sexual Orientation,,Simple Assault
12/2/2017,1254,12/2/2017,2017,12,17207984,5D,900 B/O Rhode Island Ave NE,Ethnicity/National Origin,Unspecified,Simple Assault
12/6/2017,2340,12/7/2017,2017,12,17210790,5D,1700 B/O North Capitol St NE,Race,Black,ADW
12/7/2017,1950,12/7/2017,2017,12,17211297,1D,300 B/O Pennsylvania Ave SE,Race,Black,Simple Assault
12/12/2017,1912,12/12/2017,2017,12,17214121,1D,400 B/O 2nd St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
12/14/2017,2316,12/13/2017,2017,12,17215419,3D,3000 B/O 14th ST NW,Sexual Orientation,,ADW
12/17/2017,0940,12/17/2017,2017,12,17217042,2D,1200 B/O 34th St NW,Race,Black,Damage/Defacing/Destruction of Property
12/23/2017,1300,12/23/2017,2017,12,17220499,1D,200 B/O 13th ST NE,Race,Black,Damage/Defacing/Destruction of Property
12/23/2017,1600,12/23/2017,2017,12,17220567,4D,1600 B/O Kalmia RD NW,Race,Black,Threats
12/27/2017,1155,12/27/2017,2017,12,17222129,1D,1000 B/O K St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
12/27/2017,2140,12/27/2017,2017,12,17222427,1D,1100 B/O Pennsylvania Ave SE,Ethnicity/National Origin,Arab/Middle Eastern,ADW
12/22/2017,2100,12/28/2017,2017,12,17222599,1D,600 B/O Water St SW,Sexual Orientation,,Simple Assault
12/4/2017,0224,12/28/2017,2017,12,17222665,3D,1300 B/O 14th ST NW,Sexual Orientation,,Stalking
12/30/2017,1610,12/30/2017,2017,12,17223754,6D,2000 B/O 38th ST SE,Race,Black,Damage/Defacing/Destruction of Property
12/31/2017,1400,1/13/2018,2018,1,18006370,7D,1300 B/O Southern Ave SE,Gender Identity/Expression,,Sexual Abuse
